alpha_balance,batch_size,context_window,dim,dropout_rate,epochs,expansion,grad_accum,kv_heads,lr,max_context,n_experts,no_sink,num_blocks,optimizer,pos_encoding,sliding_window,tokenizer_type,top_k_mlp,use_moe,use_swiglu,warmup_steps,weight_tying,val_loss,ms_per_step,vram_gb,effective_batch_size
,32,32.0,512,0.15,24,4,4,4,0.0006376513454792505,256,,True,12,adafactor,rotary,True,char,,False,True,100,False,1.8946043312549592,308.4831380844116,0.270224896,128
0.17050116710064123,24,192.0,128,0.2868879803419448,24,8,4,4,0.0012843347586914916,512,2.0,True,10,adamw,rotary,True,bpe,1.0,True,False,147,False,5.414135575294495,309.3489980697632,0.116855808,96
,48,48.0,256,0.246553688132453,24,2,8,8,0.01518009173078553,512,,False,10,adafactor,rotary,True,char,,False,True,127,False,1.6987276434898377,420.3391408920288,0.073309696,384
0.05721507453889167,64,,512,0.15,24,2,8,4,0.0006927207891575398,256,6.0,False,16,adafactor,rotary,False,char,1.0,True,False,200,True,2.317015361785889,1244.731788635254,0.498002432,512
,16,32.0,384,0.1904674558567986,24,6,8,1,0.00013446909022552666,128,,True,16,adafactor,rotary,True,char,,False,True,94,True,2.0883312582969666,222.36449241638184,0.271722752,128
0.1644383979663233,8,128.0,256,0.03435797149818722,24,2,2,8,4.159952391865172e-05,512,16.0,True,6,adamw,rotary,True,char,3.0,True,False,164,True,2.2069190979003905,343.63980770111084,0.372221184,16
0.2047569900917375,8,96.0,512,0.038180394077555344,24,6,8,8,2.0964893826297537e-05,512,16.0,True,12,adafactor,absolute,True,bpe,4.0,True,True,166,False,7.634388136863708,1986.117558479309,3.899412736,64
0.1153301479567243,32,,512,0.15,24,4,8,2,0.00020981602464443405,256,6.0,True,16,lion,rotary,False,char,1.0,True,False,100,True,1.6871925354003907,798.96399974823,1.783218688,256
0.07111605010114277,64,,512,0.15,24,2,8,4,0.000822362108679056,256,6.0,True,12,lion,rotary,False,char,2.0,True,True,50,True,2.145154082775116,892.5219106674194,1.073550336,512
,16,32.0,512,0.1,24,4,8,2,0.0014536850901324097,256,,False,12,lion,absolute,True,char,,False,True,50,False,2.492994248867035,186.43088817596436,0.51418624,128
0.20309907550010456,64,48.0,512,0.24891637675043848,24,8,2,4,0.005363206664169542,512,16.0,True,4,lion,rotary,True,bpe,4.0,True,False,219,False,9.44791226387024,2868.910913467407,2.229239552,128
0.06832065130627084,32,,512,0.15,24,2,8,4,0.0004158999924628787,512,6.0,True,12,lion,rotary,False,char,1.0,True,True,100,True,1.8053755462169647,1545.8206224441528,1.07774592,256
,48,96.0,128,0.12088091572764122,24,2,3,2,0.001869889357942669,192,,False,16,adafactor,rotary,True,bpe,,False,True,0,False,6.112683939933777,294.9042797088623,0.024175616,144
0.035606807716719056,32,,256,0.0,24,4,8,4,0.00014006510970326647,512,6.0,True,16,lion,rotary,False,char,2.0,True,True,100,False,1.5360760033130645,886.7316102981567,0.693669888,256
0.08236954460394952,16,,256,0.1,24,4,4,2,0.0002677522024898224,256,6.0,False,8,lion,absolute,False,char,1.0,True,True,50,False,2.4144818663597105,218.29332828521729,0.393555712,64
,64,32.0,256,0.15,24,2,8,2,0.0014329687127799648,256,,False,12,lion,rotary,True,char,,False,True,100,False,2.0314521849155427,440.39607524871826,0.0873536,512
,8,16.0,128,0.14897341963220528,24,8,8,1,1.5943265215360774e-05,256,,True,14,lion,absolute,True,bpe,,False,True,216,True,7.1683907270431515,156.00993156433105,0.077636864,64
0.04383371785828977,32,32.0,512,0.1,24,2,8,4,0.0006082873549039464,256,6.0,False,8,adafactor,rotary,True,char,2.0,True,False,200,True,1.9413207352161408,438.4229803085327,0.285158144,256
0.09892546285298057,64,96.0,384,0.10329253058044068,24,2,2,4,8.733183589540635e-05,512,8.0,True,8,adafactor,absolute,True,bpe,1.0,True,False,192,True,7.891010355949402,1479.4927406311035,0.20706432,128
0.021090670653683054,32,32.0,256,0.1,24,4,8,4,0.0018053096453464713,256,4.0,True,16,lion,rotary,True,char,1.0,True,True,50,True,1.996346002817154,549.8629665374756,0.536543488,256
,8,96.0,256,0.2397451728352664,24,4,1,8,0.011422305668556731,512,,True,8,adafactor,absolute,True,char,,False,False,198,True,2.1425859451293947,104.46446895599365,0.068116992,8
,48,96.0,256,0.15230995827410634,24,8,2,2,6.241503202670845e-05,384,,False,20,lion,absolute,True,bpe,,False,True,124,True,6.995806765556336,563.7137603759766,0.35836672,96
,16,,512,0.15,24,4,8,4,0.0005088254131876959,512,,True,16,adafactor,rotary,False,char,,False,True,100,True,2.058849793672562,466.7524194717407,0.360411392,128
0.16783931930901136,32,32.0,128,0.07702713610952604,24,6,1,4,7.375249074275896e-05,128,8.0,True,14,lion,rotary,True,bpe,4.0,True,True,6,True,7.081347560882568,426.68280124664307,0.290193664,32
,64,64.0,256,0.24178243861449772,24,4,1,8,0.0017256807202040284,384,,True,6,adamw,absolute,True,char,,False,True,132,True,2.3333407163619997,662.0586252212524,0.116440576,64
,64,128.0,768,0.0019138615364159505,24,8,4,2,9.669623733329626e-05,192,,True,6,adamw,absolute,True,bpe,,False,False,15,False,6.325207185745239,362.7837562561035,0.965045504,256
,32,,512,0.15,24,4,8,4,0.00042694467899502737,256,,True,16,lion,absolute,False,char,,False,True,100,True,2.444122004508972,387.6346778869629,0.57996544,256
,32,32.0,512,0.1,24,4,8,2,0.00020676718324471073,256,,False,12,lion,rotary,True,char,,False,False,100,True,1.5978067994117737,257.90507793426514,0.345970432,256
,32,32.0,256,0.15,24,4,8,2,0.004578823863251045,256,,False,16,adafactor,rotary,True,char,,False,False,50,True,1.6638935089111329,305.4461336135864,0.08272384,256
,64,,512,0.15,24,4,8,4,0.0003712172999409401,256,,True,16,lion,rotary,False,char,,False,True,100,False,1.890535306930542,647.6342296600342,0.564143104,512
0.18821069691488743,24,16.0,512,0.148874785789492,24,4,4,1,1.1468164268410892e-05,192,12.0,True,14,adafactor,absolute,True,char,4.0,True,False,99,True,3.799141192436218,1741.7705488204956,1.574666752,96
,32,,512,0.0,24,2,8,4,0.00044025677705355256,256,,False,12,lion,rotary,False,char,,False,False,50,False,1.7661895990371703,593.0591678619385,0.213090304,256
0.2715185035107078,24,16.0,512,0.11394863413804146,24,2,4,8,1.2881885284423144e-05,256,4.0,False,20,lion,rotary,True,char,3.0,True,True,34,True,2.390686070919037,581.6337490081787,1.312997376,96
,64,,512,0.15,24,4,8,4,0.0003438029891822462,512,,True,8,adamw,rotary,False,char,,False,True,50,True,1.7679251551628112,571.9024324417114,0.45848576,512
0.01593582273688468,64,,256,0.15,24,4,4,4,0.0010759775454430524,256,4.0,False,12,adafactor,rotary,False,char,2.0,True,False,100,False,2.1264641523361205,788.5178518295288,0.141608704,256
,48,192.0,128,0.17600519349113647,24,2,6,4,1.4845026117707727e-05,256,,True,10,lion,absolute,True,bpe,,False,True,102,True,7.4528614521026615,205.11573314666748,0.028948992,288
0.07139258349422006,32,32.0,512,0.15,24,4,4,4,0.00039080012961980985,512,4.0,False,12,adafactor,rotary,True,char,1.0,True,False,100,True,4.969321441650391,0.0,0.490082304,128
0.07110874459553003,64,,512,0.15,24,2,8,4,0.00013479118058627176,512,6.0,True,12,adafactor,rotary,False,char,2.0,True,False,200,True,2.7655644059181212,1823.5533094406128,0.379834368,512
0.05538806655029402,64,32.0,512,0.1,24,2,8,2,0.0005776535412000645,256,4.0,False,12,lion,rotary,True,char,2.0,True,True,50,True,1.9563693702220917,684.0812063217163,0.752694784,512
,16,32.0,512,0.0,24,4,2,2,0.000821926187525943,256,,False,12,lion,rotary,True,char,,False,False,50,False,2.179433822631836,182.8664255142212,0.356545792,32
0.06879915008992296,32,,512,0.15,24,2,8,4,0.0012388052194540233,256,4.0,False,12,adafactor,rotary,False,char,1.0,True,False,50,True,1.9983925521373749,807.9411363601685,0.29671936,256
