group,label,attn_type,params_m,dim,n_heads,kv_heads,num_blocks,max_context,batch_size,prompt_len,dtype,use_cache,use_moe,n_experts,top_k_mlp,use_swiglu,pos_encoding,mla_down_kv,mla_rope_dim,prefill_ms_p50,prefill_ms_p95,decode_step_ms_p50,decode_step_ms_p95,decode_tok_s,kv_cache_mb,oom
gqa_vs_cache,MHA-ctx1024,MHA,13.923,256,8,8,6,1024,1,512,fp32,True,False,,,True,rope,,,10.714,10.886,10.964,11.053,91.21,12.583,False
gqa_vs_cache,GQA4-ctx1024,GQA(2/8),13.184,256,8,2,6,1024,1,512,fp32,True,False,,,True,rope,,,10.659,10.755,10.891,11.165,91.82,3.146,False
gqa_vs_cache,MLA-ctx512,MLA,9.183,256,8,8,6,512,1,256,fp32,True,False,,,True,rope,64.0,16.0,13.204,13.427,13.669,13.978,73.16,0.983,False
gqa_vs_cache,MLA-ctx1024,MLA,13.926,256,8,8,6,1024,1,512,fp32,True,False,,,True,rope,64.0,16.0,13.481,13.702,13.54,13.968,73.85,1.966,False
scale_dtype,tiny-fp32,MHA,0.368,64,4,4,2,256,1,64,fp32,True,False,,,True,rope,,,4.014,4.071,4.112,4.136,243.17,0.262,False
scale_dtype,tiny-bf16,MHA,0.368,64,4,4,2,256,1,64,bf16,True,False,,,True,rope,,,4.124,4.199,4.112,4.194,243.18,0.131,False
scale_dtype,small-fp32,MHA,1.29,128,4,4,3,256,1,64,fp32,True,False,,,True,rope,,,5.663,5.744,5.792,5.951,172.66,0.786,False
scale_dtype,small-bf16,MHA,1.29,128,4,4,3,256,1,64,bf16,True,False,,,True,rope,,,5.688,6.02,5.796,5.979,172.53,0.393,False
scale_dtype,medium-fp32,MHA,7.951,256,8,8,6,256,1,64,fp32,True,False,,,True,rope,,,10.556,10.838,10.813,10.998,92.48,3.146,False
scale_dtype,medium-bf16,MHA,7.951,256,8,8,6,256,1,64,bf16,True,False,,,True,rope,,,10.575,10.641,10.819,10.935,92.43,1.573,False
scale_dtype,large-fp32,MHA,38.382,512,16,16,8,256,1,64,fp32,True,False,,,True,rope,,,14.168,14.4,14.792,15.537,67.61,8.389,False
scale_dtype,large-bf16,MHA,38.382,512,16,16,8,256,1,64,bf16,True,False,,,True,rope,,,14.074,14.295,14.645,14.945,68.28,4.194,False
batch_attn,MHA-bs1,MHA,7.951,256,8,8,6,256,1,64,fp32,True,False,,,True,rope,,,10.555,10.649,10.848,10.929,92.18,3.146,False
batch_attn,MHA-bs8,MHA,7.951,256,8,8,6,256,8,64,fp32,True,False,,,True,rope,,,10.507,10.755,10.732,10.808,745.44,25.166,False
batch_attn,MHA-bs32,MHA,7.951,256,8,8,6,256,32,64,fp32,True,False,,,True,rope,,,10.681,11.637,10.841,11.874,2951.72,100.663,False
batch_attn,GQA-bs1,GQA(2/8),7.212,256,8,2,6,256,1,64,fp32,True,False,,,True,rope,,,10.509,12.562,10.758,10.844,92.95,0.786,False
batch_attn,GQA-bs8,GQA(2/8),7.212,256,8,2,6,256,8,64,fp32,True,False,,,True,rope,,,10.797,11.102,10.962,12.711,729.78,6.291,False
batch_attn,GQA-bs32,GQA(2/8),7.212,256,8,2,6,256,32,64,fp32,True,False,,,True,rope,,,10.898,11.072,11.399,11.84,2807.2,25.166,False
batch_attn,MLA-bs1,MLA,7.991,256,8,8,6,256,1,64,fp32,True,False,,,True,rope,64.0,16.0,13.842,16.909,14.204,14.32,70.4,0.492,False
batch_attn,MLA-bs8,MLA,7.991,256,8,8,6,256,8,64,fp32,True,False,,,True,rope,64.0,16.0,14.869,15.46,14.594,14.874,548.16,3.932,False
batch_attn,MLA-bs32,MLA,7.991,256,8,8,6,256,32,64,fp32,True,False,,,True,rope,64.0,16.0,14.449,15.666,14.34,14.984,2231.58,15.729,False
